osm_id,lat,lon,category,subtype,name
node/11385158063,22.2896644,91.7772602,Industrial,works,"Z&Z Intimates Ltd, Plot/1-3, Road -02, CEPZ, Chattogram"
node/11385161925,22.2907189,91.7769705,Industrial,works,"Fenix sportswear ltd, CEPZ Circle, Chattogram"
node/11385187259,22.2884854,91.7793543,Industrial,works,"Youngone (CEPZ) Ltd, BEPZA College Rd, Chattogram"
node/11385188840,22.289361,91.7778131,Industrial,works,"HZ International Co., Ltd.,CEPZ, Chattogram"
node/11385221730,22.2905007,91.7750301,Industrial,works,"Globe Textile Mills Ltd., CEPZ, Chattogram"
node/11385227669,22.2869153,91.7778124,Industrial,works,"Midas safety Industrial Hand Protection Ltd. Unit - 2, CEPZ Entry Rd, Chattogram"
node/11385227670,22.2860152,91.777617,Industrial,works,"M/S Monavi Textile Complex, CEPZ Entry Rd, Chattogram"
node/11385230223,22.2911857,91.7757302,Industrial,works,"Siams Superior Ltd. (Habib Group), CEPZ, Chattogram"
node/11391394016,8.0572212,80.5537315,Industrial,works,Ihalagama Buiscut Factory
node/11393267559,22.2884778,91.7748462,Industrial,works,"Excelsior Shoes Ltd, CEPZ Exit Rd, Chattogram"
node/11393279946,22.2875779,91.7744501,Industrial,works,"Multi Safh Ltd.,Road-4, Sector-3, Plot/29-32, Chattogram"
node/11393284437,22.285548,91.7758761,Industrial,works,"Lalmai Sportswear Ltd., CEPZ, Chattogram"
node/11393290409,22.2914349,91.7749347,Industrial,works,"Presentation Apparels Ltd.,Plot-27, Sector-01 Road-04, CEPZ, Chattogram"
node/11393298702,22.287779,91.7733987,Industrial,works,"YoungAn Hat (BD) Ltd., Young An Hat (Bd) Ltd., Chattogram"
node/11393298703,22.2909336,91.7725831,Industrial,works,"Industrial Hand Protection Ltd. Unit - 1, C.E.P.Z., Chattogram"
node/11393301298,22.286478,91.7756439,Industrial,works,"Youngone Sports Shoes Ltd.,7-20 Road - 3, CEPZ, Chattogram"
node/11393309575,22.2900694,91.7743016,Industrial,works,"UP Apparels & Textiles (BD) Ltd., Plot: 41-42, Road No: 04, Sector: 1, CEPZ, Chattogram"
node/11393316763,22.2890713,91.7742463,Industrial,works,"Peninsula Garments Ltd., Manufacturer, CEPZ, Chattogram"
node/11393318286,22.2896806,91.7723464,Industrial,works,"Smart Jacket (BD) Ltd. & Shehan Specialized Textile Mills Ltd., Garment exporter, Chattogram"
node/11393323783,22.2910839,91.7743532,Industrial,works,"Al-Salam Fabrics (Pvt.) Ltd, Textile mill, C.E.P.Z., Chattogram"
node/11393363538,22.2800884,91.7841904,Industrial,works,"Shah Rice Mill, M. A Aziz Rd, Chattogram"
node/11394786359,19.075167,72.883029,Industrial,works,ANAM GARMENTS
node/11395394422,22.2838458,91.7752652,Industrial,works,"Atlantic Standard, Industry, Chittagong Coastal Rd, Chattogram"
