latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
20.79334,85.25298,337.4,0.42,0.38,2026-05-01,0722,N21,VIIRS,l,2.0NRT,306.07,3.06,D
20.18864,81.80683,330.17,0.43,0.46,2026-05-01,0722,N21,VIIRS,l,2.0NRT,303.84,3.09,D
19.67076,79.20584,345.24,0.32,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,311.04,4.24,D
20.95286,86.04967,338.54,0.4,0.37,2026-05-01,0722,N21,VIIRS,l,2.0NRT,307.12,5.51,D
20.96341,86.00849,338.68,0.4,0.37,2026-05-01,0722,N21,VIIRS,l,2.0NRT,307.16,7.7,D
19.80824,79.57677,333.81,0.61,0.53,2026-05-01,0722,N21,VIIRS,l,2.0NRT,306.33,4.07,D
20.99937,86.01762,336.63,0.4,0.37,2026-05-01,0722,N21,VIIRS,n,2.0NRT,305.05,5.08,D
20.22446,81.51553,335.2,0.45,0.47,2026-05-01,0722,N21,VIIRS,l,2.0NRT,307.72,4.89,D
16.17225,79.90588,350.85,0.34,0.56,2026-05-01,0722,N21,VIIRS,n,2.0NRT,307.21,8.29,D
15.88475,78.47492,341.63,0.43,0.62,2026-05-01,0722,N21,VIIRS,n,2.0NRT,308.36,4.86,D
16.20967,80.06964,344.32,0.33,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,307.3,5.12,D
16.33245,80.67567,367,0.6,0.53,2026-05-01,0722,N21,VIIRS,h,2.0NRT,307.02,15.85,D
16.18116,79.89768,367,0.34,0.56,2026-05-01,0722,N21,VIIRS,h,2.0NRT,306.79,8.89,D
16.3335,80.68114,342.9,0.6,0.53,2026-05-01,0722,N21,VIIRS,n,2.0NRT,304.65,15.85,D
16.3314,80.67018,337.22,0.6,0.53,2026-05-01,0722,N21,VIIRS,n,2.0NRT,304.93,5.07,D
16.18176,79.90077,341.38,0.34,0.56,2026-05-01,0722,N21,VIIRS,n,2.0NRT,308.13,8.89,D
16.01504,79.06152,332.99,0.39,0.59,2026-05-01,0722,N21,VIIRS,n,2.0NRT,302.8,2.93,D
16.18621,79.89668,367,0.34,0.56,2026-05-01,0722,N21,VIIRS,h,2.0NRT,309.23,8.15,D
16.34459,80.71295,342.52,0.59,0.53,2026-05-01,0722,N21,VIIRS,n,2.0NRT,309.86,63.87,D
16.34354,80.7075,351.52,0.6,0.53,2026-05-01,0722,N21,VIIRS,n,2.0NRT,307.44,63.87,D
16.34249,80.70205,352.72,0.6,0.53,2026-05-01,0722,N21,VIIRS,n,2.0NRT,304.75,18.03,D
16.18682,79.89978,344.57,0.34,0.56,2026-05-01,0722,N21,VIIRS,n,2.0NRT,307.36,5.91,D
16.24845,80.18884,338.76,0.32,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,307.48,1.33,D
16.25456,80.19379,367,0.32,0.55,2026-05-01,0722,N21,VIIRS,h,2.0NRT,308.44,9.42,D
16.25398,80.19081,342.16,0.32,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,307.95,7.57,D
16.20018,79.88747,334.06,0.34,0.56,2026-05-01,0722,N21,VIIRS,l,2.0NRT,307.07,1.74,D
16.19958,79.88434,332.47,0.34,0.56,2026-05-01,0722,N21,VIIRS,l,2.0NRT,306.16,1.74,D
15.86157,78.18941,333.62,0.45,0.63,2026-05-01,0722,N21,VIIRS,l,2.0NRT,307.18,4.55,D
18.65583,95.63928,340.89,0.54,0.51,2026-05-01,0722,N21,VIIRS,n,2.0NRT,292.61,17.46,D
16.19832,79.8857,339.77,0.34,0.56,2026-05-01,0722,N21,VIIRS,n,2.0NRT,305.94,2.51,D
16.20339,79.88475,332.14,0.34,0.56,2026-05-01,0722,N21,VIIRS,l,2.0NRT,306.77,2.51,D
15.85809,78.1898,332.88,0.45,0.63,2026-05-01,0722,N21,VIIRS,l,2.0NRT,307.64,5.41,D
15.61311,76.98883,334.96,0.54,0.68,2026-05-01,0722,N21,VIIRS,n,2.0NRT,303.86,4.71,D
16.27204,80.0703,331.82,0.33,0.55,2026-05-01,0722,N21,VIIRS,l,2.0NRT,305.93,2.15,D
16.29567,80.13704,349.89,0.33,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,306.1,5.3,D
16.28404,80.05227,338.5,0.33,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,303.95,3.96,D
16.28344,80.04927,344.33,0.33,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,305.12,3.96,D
16.44496,80.7965,333.42,0.58,0.52,2026-05-01,0722,N21,VIIRS,l,2.0NRT,306.08,8.96,D
16.20411,79.54429,351.26,0.36,0.57,2026-05-01,0722,N21,VIIRS,n,2.0NRT,306.13,5.73,D
16.33168,80.08349,367,0.33,0.55,2026-05-01,0722,N21,VIIRS,h,2.0NRT,307.45,8.45,D
16.34247,80.11227,355.58,0.33,0.55,2026-05-01,0722,N21,VIIRS,n,2.0NRT,305.16,7.81,D
15.68973,76.81139,331.73,0.56,0.69,2026-05-01,0722,N21,VIIRS,l,2.0NRT,304.81,2.39,D
